0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:36 +0900] "GET /HRD_A02/editCourse.jsp?id=10001 HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:37 +0900] "GET /HRD_A02/editCourse.jsp?id=10001 HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:37 +0900] "GET /HRD_A02/editCourse.jsp?id=10001 HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:42 +0900] "GET /HRD_A02/index.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:43 +0900] "GET /HRD_A02/addCourse.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:55 +0900] "GET /HRD_A02/index.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:47:57 +0900] "GET /HRD_A02/editCourse.jsp?id=10003 HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:49:51 +0900] "POST /HRD_A02/editCourseCtrl.jsp HTTP/1.1" 500 3098
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:49:54 +0900] "GET /HRD_A02/index.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [17/Aug/2022:16:49:56 +0900] "GET /HRD_A02/addCourse.jsp HTTP/1.1" 200 2068
